STORM_ID,NAME,ISO_TIME,LAT,LONG,STORM_DIR,STORM_SPEED,WMO_WIND,WMO_PRE,LANDFALL
1,STORM_0001,2020-01-01 00:00:00,26.344430902843566,151.2398392411269,282.06677628539114,14.573715686088198,38.66372270273229,986.7846683837731,936
1,STORM_0001,2020-01-01 03:00:00,26.426773005875148,150.8546580536721,289.4161901355149,14.985346724646636,42.00556065714718,985.2600734051804,936
1,STORM_0001,2020-01-01 06:00:00,26.56140931772433,150.47268206741387,266.6808688960891,17.448238985257902,53.04638708131807,975.3572172464911,936
1,STORM_0001,2020-01-01 09:00:00,26.53410642143149,150.0018990872152,287.63142300709654,16.677272940625432,52.493761223009294,991.7436738672542,936
1,STORM_0001,2020-01-01 12:00:00,26.670631359283465,149.57233549410756,282.1671964212288,11.998663544260832,58.65169001048321,981.8986415033221,936
1,STORM_0001,2020-01-01 15:00:00,26.738980014945295,149.2553318656469,273.96703151221845,15.979428273914063,42.07334733809138,993.9161604681682,936
1,STORM_0001,2020-01-01 18:00:00,26.768858287410477,148.82449019157218,271.2187829639455,12.862418349925148,61.36175227692523,981.4839885017556,936
1,STORM_0001,2020-01-01 21:00:00,26.776252499387912,148.47693591017034,281.6392406359343,13.346992268614457,61.189107088081116,973.7402347190722,936
1,STORM_0001,2020-01-02 00:00:00,26.849029234257202,148.12362396016135,277.7532009837013,16.98235302918103,69.95737062356123,979.3183859620167,936
1,STORM_0001,2020-01-02 03:00:00,26.91094886127388,147.66883729784013,294.5540133772619,13.656273562085278,71.88426746944636,984.9138305705893,936
1,STORM_0001,2020-01-02 06:00:00,27.06432390503757,147.33312551956797,294.44343411979946,11.487501548534507,81.37148316060906,969.3170583813938,936
1,STORM_0001,2020-01-02 09:00:00,27.192795984236533,147.05048012724575,288.2645311085876,13.342353065189101,72.85391627959328,970.1926882837354,936
1,STORM_0001,2020-01-02 12:00:00,27.3058109993551,146.70804334489756,274.2807145380157,16.46295893377724,73.1879882685112,970.2929363659479,936
1,STORM_0001,2020-01-02 15:00:00,27.33902305023225,146.26433976501303,262.10987609498557,16.84654624698396,101.46030099431141,957.6344823485254,936
1,STORM_0001,2020-01-02 18:00:00,27.27652062914064,145.81333807986846,277.02050635186777,15.738754404725007,107.24482007378256,958.4206437009283,936
1,STORM_0001,2020-01-02 21:00:00,27.328511507741208,145.39115557632115,273.0245805752489,11.594665456186332,85.09873737336513,967.8167285648798,936
1,STORM_0001,2020-01-03 00:00:00,27.34504624507106,145.07822276625453,313.44672476799207,15.22224601214073,94.47075983763766,957.4738879247092,936
1,STORM_0001,2020-01-03 03:00:00,27.627966006267584,144.77953181022227,310.2296836854693,17.957019618905672,105.13987749183643,966.0826510132216,936
1,STORM_0001,2020-01-03 06:00:00,27.94141466857613,144.4090049548453,329.39950900755105,13.972327782929534,105.73340922489938,956.9679553807415,936
1,STORM_0001,2020-01-03 09:00:00,28.266455446612643,144.21677261493733,328.20841770290355,14.746661842008175,59.28095780715985,988.3831961578943,936
1,STORM_0001,2020-01-03 12:00:00,28.605218194604053,144.00679970898855,332.91003945957755,15.491956721896234,84.3822393772944,968.6260194132835,936
1,STORM_0001,2020-01-03 15:00:00,28.97798507619895,143.81612767185976,324.0272106415375,16.065469304773757,68.17901655600868,976.8408338843484,936
1,STORM_0001,2020-01-03 18:00:00,29.329382937581013,143.5610770697797,337.615734705711,14.434972332513407,81.20867792471024,964.4389890764737,936
1,STORM_0001,2020-01-03 21:00:00,29.690120952140166,143.41250747310272,324.34173229104033,15.305744842211999,80.53549654621051,960.3579234493862,936
1,STORM_0001,2020-01-04 00:00:00,30.0262302867183,143.17135943898595,341.22020635110766,13.74590759940654,68.07193912692587,969.2664408187119,936
1,STORM_0001,2020-01-04 03:00:00,30.37796311664705,143.05175822031154,329.4838275981329,16.764561251219835,66.57863373980213,974.7967911215511,936
1,STORM_0001,2020-01-04 06:00:00,30.768299132667067,142.82168430525041,338.83511647368965,15.810734249487815,66.90494496163338,976.1723925171993,936
1,STORM_0001,2020-01-04 09:00:00,31.1667917100207,142.66740013387536,352.9295911089667,16.773235873972546,62.88372029130396,978.8311987688984,936
